VisitorTeam,Away_FGM,Away_FGA,Away_FGPct,Away_3PM,Away_3PA,Away_3PPct,Away_FTM,Away_FTA,Away_FT_Pct ,Away_ORB,Away_DRB,Away_TRB,Away_AST,Away_TO,Away_STL,Away_BLK,Away_PF,Away_PTS.G,Season
Indiana Pacers,37.9,85.4,44.4,8.2,23.3,35.3,17.4,22.5,77.2,10.4,33.5,43.9,21.4,14.8,9,4.9,21.5,101.4,2016
Los Angeles Clippers,38,82.3,46.2,9.7,27,36,18.4,26.6,69.3,8.3,32.1,40.4,22.1,11.9,8.9,5.4,21.7,104.2,2016
Los Angeles Lakers,35.1,84.7,41.5,8.6,25.3,33.9,19,24.5,77.6,10.6,31.4,42,17.1,13.6,7.5,3.9,20.7,97.9,2016
Memphis Grizzlies,36.5,83.5,43.7,5.7,18.6,30.5,17.6,22.9,77,10.6,30.5,41.1,20.4,13,8.8,4,21.9,96.3,2016
Miami Heat,37.7,82.4,45.8,5.9,17.8,33.1,15.6,20.8,74.8,10,34.3,44.3,21.2,13.8,6.3,6.6,17.8,96.9,2016
Milwaukee Bucks,37.9,81.5,46.5,5.4,16,33.6,16.2,21.7,74.7,10.5,31.4,41.9,22.1,15.4,7.6,5.6,21.4,97.2,2016
Minnesota Timberwolves,38.3,82.5,46.5,5.8,17.1,33.9,20.8,26,80,10,31.6,41.6,23.7,14.6,8.6,4.6,21.5,103.3,2016
New Orleans Pelicans,37.4,85.5,43.8,7.7,23.5,32.6,17.1,22,77.7,9.2,33.5,42.7,20.7,14,7.4,3.7,21.3,99.5,2016
New York Knicks,36.5,83,43.9,7.6,21.5,35.4,17.3,22,78.5,10.2,33.7,43.9,20.7,12.8,6,5.8,20.5,97.9,2016
Oklahoma City Thunder,41,86.3,47.5,8.7,24,36.2,20.3,25.6,79.2,13.1,35.8,48.9,22.4,15.5,6.6,5.6,21.8,110.9,2016
Orlando Magic,38.8,86.3,45,7.3,21.8,33.7,14.6,19.1,76.3,9.7,32.7,42.4,22.4,13.6,7.9,4.8,21,99.6,2016
Philadelphia 76ers,36,83.9,42.9,9.3,27.6,33.6,15.5,21.7,71.5,9.1,32,41.1,20.7,15.6,8.2,6.3,22.3,96.8,2016
Phoenix Suns,36.5,84.9,43,8.6,25.4,33.8,17.1,22.7,75.3,10.8,32.7,43.6,20.8,16.7,7.3,3.8,22.9,98.6,2016
Portland Trail Blazers,37.3,85.1,43.8,10.2,28.2,36.1,17.5,23.3,75.4,11.2,33.2,44.5,19.5,14.2,6.5,4.6,23,102.2,2016
Sacramento Kings,40.1,87.1,46,8,22.5,35.3,17.5,24.3,72.2,10.4,34,44.4,25.1,15.3,9.3,5,20.9,105.6,2016
San Antonio Spurs,39.6,82.5,48,6.6,17.9,36.9,16.1,20,80.3,9,33.8,42.8,23.5,13,8.2,5.8,17.5,101.9,2016
Toronto Raptors,36.1,81.5,44.3,8.4,23.5,36,19.9,25.4,78.4,10.2,33.3,43.5,18.6,12.2,8,5.8,19.6,100.5,2016
Utah Jazz,36.4,82.1,44.3,8,22.8,35.1,16.1,21.3,75.6,11.5,30.8,42.3,20.6,14,7.5,5.1,20.8,96.8,2016
Washington Wizards,39.1,85.8,45.5,8.5,24.2,35.1,15.5,21.5,72.1,9.1,32.3,41.5,23.7,14.1,8.2,3.9,21.3,102.1,2016
